abelujo,蜂房
brogi,涮,烫,烫伤
bronzo,青铜
brosi,刷
broso,刷子
bruldifekti,烧伤
brulego,大火,火灾,失火
brulligno,柴,木柴
brulvundi,烧伤,烫伤
brutala,残暴,粗暴,粗野
bubalo,水牛
bufo,蛤膜
buljono,肉汤
bulteno,公报,简报
buo,浮标,肮标
burokrato,官僚
buso,公共汽车,客车
busto,半身像,上半身
butikisto,掌柜
caro,沙皇
cedema,嫌让
cedro,杉木,雪松
celebri,庆祝
cemento,水门汀,水泥
cepo,洋葱
che,靠近
ciferplato,表盘
cigano,茨冈人,吉卜赛人
cikatro,疤,疮疤,伤疤,伤痕
ciklono,龙卷风,旋风
cilindro,气缸,汽缸,圆筒,圆柱体
cimbalo,铙钹
cimo,臭虫
Cindrulino,灰姑娘
cipreso,柏树
cirkla,圆形
cirkle,盘旋
cirkulero,传单
cirkuli,流传,流动,流通,流行,循环
cisterno,水池,雨水池
citrono,柠檬
civilulo,平民
colo,英寸
damninda,万恶
dancejo,舞厅
dando,花花公子
datreveno,纪念日
debati,打掉,议论,争辩
debato,辩论,论战
decidema,果断
decideme,坚决
decidiga,决定性
dedukti,推论
degeneri,变质,堕落,腐化,衰颓,退化,蜕化
dekadenco,破落,颓废
deklaracio,宣言
dekoracio,布景
dekreti,发令
delegacio,代表团
delegi,选派代表
delfeno,海豚
deliri,胡说,说胡话
deliro,精神错乱
demonstracio,论证
denaska,先天
denseco,密度,浓度
dentisto,牙医
dentobroso,牙刷
departemento,部,部门
dependa,从属,附属
deponi,储蓄,积蓄,寄存
despotismo,暴政,独裁,独裁政治,专制
despoto,暴君,豪强,专制君主
determini,测定,判定,判断,确定,限定,修饰
detronigi,废黜
diafana,半透明
diagnozo,诊断
dialektiko,辩证法
dialogo,对话
diametro,直径
difino,定义
digesti,消化
dikeco,厚度
dikfingro,大拇指
diktatoro,独裁者
dikulo,胖子
dilemo,困境
diletanto,业余爱好者
diluvo,洪水
diplomatio,外交
disa,分散,稀疏
disenterio,赤痢,痢疾
diserigi,支解
disfaldi,摊开,展开
disfandi,熔化
disipi,挥霍
disko,唱片,铁饼
diskonigi,散布
diskreta,持重,谨慎,慎重,适度,有分寸
diskrete,审慎
dispozicio,部署
dissemi,传播
distanci,相隔
distordi,歪曲
distribui,发行,分发,分配
diverskolora,杂色
dizerti,开小差
doganisto,海关人员
dogmaro,教义
domposedanto,房主
dorloti,宠爱,娇惯,娇养,溺爱,钟爱
dorlotita,任性
dormejo,宿舍
dormigi,催眠
dorsa,反面
dorse,向后
dozo,剂量,一服
drato,金属线
dresi,驯
drinkemulo,酒鬼
drivi,漂泊,漂流
drogo,生药,药材,药料
dubinda,可疑
dunaskito,双胞胎
duoninsulo,半岛
duonpatrino,后妈,继母
duonpatro,继父
duonvoje,中途
eburo,象牙
edifi,感化,教导,启发,启示
edikto,法令,诏书
edukisto,教育家
edukiteco,教养
efemera,暂时
efika,灵验,有效
egoisma,自私
ekipi,配备,装备
ekleziulo,牧师
ekonomiko,经济学
ekrano,屏风,银幕
eksigi,罢免,撤,撤职,辞退,革职,解雇,开除,免职
ekskludi,排除
ekskluziva,排他,专门
ekskremento,粪,排泄物
ekskursi,漫游,游览
ekskuzi,辨解
ekspedi,打发,调度,发送,寄出,派谴,托运
eksperimenti,试验
eksperto,熟手,专家
eksplodema,暴躁,易爆
eksplodigi,激发
ekspozicio,展览会
eksterdome,外边
eksterlanda,国外,海外,外国
ekstra,额外
ekvatoro,赤道
ekzekuti,处决,处死,正法
ekzili,放逐,流放
elementa,切等,基本
elfari,完成,制成,作成
elflui,流出
elito,精华,中坚
elkora,真心的
ellabori,制成,制定,作成
elokventa,善辩,雄辩
elokventeco,口才
elpaki,解包,开捆
elpeti,求得
elradikigi,铲除,根除,根绝
embarasa,为难
emblemo,纹章,象征
embrio,胚胎
embusko,埋伏
emocia,令人感动
enciklopedio,百科全书
enkalkuli,包含,算入
enkarcerigi,监禁,拘押
enlanda,国内
enspezi,收入
entombigi,安葬
entuziasma,热烈,热心
enviema,好嫉妒
epidemio,流行病,瘟疫,疫病
epiteto,定语
epizodo,插话,插曲
epopeo,史诗,英雄史诗
eposo,叙事诗
erao,纪元,年代,年号,时代
erarvagi,迷路
erinaco,刺猬
ermito,隐士
erupcio,皮疹
eseo,小品文,杂文
eskalo,云梯
eskorti,护送,押送
esplorrigardi,端详,侦察
estetiko,美学
etapo,阶段,宿营地,行程
etiketo,标签,礼节,礼仪
etiko,伦理
eventualo,可能
fablo,寓言
fabo,蚕豆
facilmova,敏捷
faco,面
fajri,着火
fajrigi,点火
faka,专门
faktoro,因数,因素
fakturo,单据,发票,收据,收条
fakultato,系
falsi,篡改,假冒,假造,伪造
fame,闻名
familiara,亲密,亲切,随便
familiestro,户主,家长
fanatika,狂热
fantazii,空想,想象
farbi,染色,着色
farso,丑剧,滑稽戏,闹剧,趣剧,笑剧
fasto,绝食
favo,头疮,头癣
febla,衰弱,微弱,纤弱,虚弱
feki,大便,拉屎
fekunda,多产,肥沃,富饶
felsako,皮袋子
felto,毛毡,毡
fenestrobreto,窗台
fenikso,凤凰
fermenti,发酵
feroca,凶暴,凶恶
fidinda,可靠
fiera,高傲,骄傲,自大的,自负
fieri,翘尾巴
fiero,自豪
fiksi,定影,固定,规定,确定
filmo,电影,胶片,软片,影片
filozofo,哲学家
fina,最后的
finfine,到底
firma,坚定,牢固
firmigi,巩固,增强
fiziko,物理
flami,燃烧
flamo,烈火,怒火,热情
flanka,旁边
flari,闻,嗅
flati,吹捧,阿诀,逢迎,奉承,恭维,溜须拍马,拍马屁,讨好,献媚
flava,黄色
flegi,护理,看护,培植,侍候
flori,开花
flugilo,翅膀
flui,流,流动
fluido,流体
fluo,潮流,水流
fluso,潮,潮汐,涨潮
flustri,嘀咕,耳语,悄悄话,飒飒,私语
foirejo,市场
foko,海豹
foliumi,翻阅
forbalai,扫除,扫荡,席卷
forgesemo,忘性
forgliti,偷偷溜掉
forgluti,吞噬
forkonsumi,耗尽
formulo,程式,格式,公式,式子
forpasinta,已故
forpermeso,准假
forputri,烂掉
forstreki,删掉
fortuno,吉庆,幸福,幸运
forvendi,卖掉
foso,穴
foti,拍摄,摄影,照相
fotisto,摄影师
fragila,脆
frago,草莓
frako,燕尾服
frapilo,拍子,钟锤
frata,兄弟般
fremdlanda,外国
frenezulejo,精神病院
frido,冷
fridujo,电冰箱
friti,煎,油煎,油炸
frivola,轻薄,轻浮,轻狂
frizisto,理发师
fruktarbo,果树
frukti,结实
fruktodona,多产
ftizo,肺结核
fulgo,煤烟,油烟
fumtubo,烟囱
funelo,漏斗
fungo,蘑菇
funkciulo,干部,职员
futbalo,足球
futo,英尺
futuro,将来
gajiga,令人快乐
gamo,音阶
gardata,设防
gardostaranto,步哨,岗哨,哨兵,卫兵
gardostari,放哨,站岗
garni,饰,装饰
gaso,毒气,煤气,气体,瓦斯
gastama,好客
gasti,做客
gazelo,羚羊
gazetisto,记者,新闻记者
gazo,罗纱,纱布
gazono,草地,草坪
genealogio,系谱图,系谱学
generi,生育,生殖
geometrio,几何学
ghi,它
gimnastiko,体操
gimnazio,中学
gipso,石膏
girlando,花环
gitaro,吉他
gladi,烫,烫平
glano,橡实
glita,油滑的
glitilo,冰鞋
glitkuri,溜冰
glitveturilo,橇,雪橇
gloramo,荣誉心
glua,黏
gluo,浆糊,胶,胶水
gongo,锣,铜锣
gorilo,大猩猩
gramatikisto,文法家,语法学家
granato,石榴
grandanimeco,大量
grandigi,放大
grandiozeco,堂皇
grandnombra,许多
grandsinjoro,老爷,显贵
granita,顽固
granito,花岗岩
grapolo,一串
gratulo,贺词
gravedeco,妊娠
gravito,引力,重力
gravulo,要人
gravuri,雕刻,刻
grenado,手榴弹
grenejo,谷仓,粮仓
greso,草,草料,饲草,饲料
grifelo,石笔
grilo,蛐蛐儿,蟋蟀
grimpoplanto,攀缘植物,藤蔓植物
grizhara,花白
groteska,奇怪
grumblo,牢骚,怨言
gruo,吊车,鹤,起重机
gruzo,砾石,砂砾,碎石
gubernio,县
gumo,胶,树胶
gvati,监视,侦察
gvidisto,导游,向导
gvidlibro,旅行指南,指南
haladzo,臭气,恶臭
haltadi,停留
haltejo,停车站,停留处
halucinacio,幻觉
halucino,幻觉
hamako,吊床
hardi,锻炼,磨练
harligo,辫子
hasta,急忙
heleno,希腊人
heligi,照亮
heliko,蜗牛
helpisto,副手
heni,马嘶,嘶
hereza,邪恶
herezo,邪教,异端
herezulo,邪教徒,异教徒
heroeco,英雄气概
hiacinto,洋水仙
hibrido,杂种
hidrargo,汞,水银
higieno,卫生
hipnotismo,催眠术
hipokrita,假惺惺,虚伪
hipokritulo,伪君子
hipopotamo,河马
hirta,乱莲蓬,直立的
hirtigi,竖起
holdo,船舱,货舱
honorario,酬金
hontema,羞怯
hordo,伙,游牧部落
horizontala,横,水平
horora,可怕
humana,仁慈
humanismo,人道主义,人文主义,人性
humida,潮湿,湿,湿润
humiligo,耻辱
humuro,风趣,诙谐,幽默
hurai,欢呼
ideologio,观念形态,思想,意识形态
idilio,牧歌,田园诗
idiotismo,习惯语
ikono,圣像
ilaro,用具
ilumini,张灯结彩
imaga,虚拟
imagemo,想像力
imperativo,命令式
impertinenta,鲁莽,无礼
impeta,急剧
impeti,飞跃,跳跃,突进,跃进
implici,含蓄
impostisto,税务员,征税员
incendio,大火,火灾,失火
incidento,事端,事件
indignigi,激怒
indiko,指示
individueco,个性
indulgema,宽厚,仁厚
inerta,迟钝
infanteriano,步兵
infekti,传染,感染
iniciati,倡导,发起,开创,兴办
iniciatinto,奠基人
inokuli,灌输,接枝,接种,种痘
insidi,暗害,暗算,陷害
insigno,徽章,纪念章
instali,安装,设置
instrua,有教育意义,有益
instruiteco,学识,学问
instruitulo,秀才,有学问的人
instrukcii,发令
insularo,群岛
intelektulo,知识分子
intenca,故意,有意
intenseco,强度
interkomuniki,相通
interkonsentite,商定
interligi,连接
interplekti,交织
interpremi,挤
interpretisto,译员
intertrakti,会谈
intervalo,音程
intervjui,采访,走访
intesto,肠
intimulo,密友
intuicio,直觉
invadanto,寇
invalido,残废
inversa,相反
inversigi,倒,颠倒
investi,任命,投资,委任
ismo,主义
izoli,隔离,孤立,绝缘
izolita,偏僻
juglando,核桃
jugo,钝,咖锁
juki,发痒,痒痒
julo,橹
jungilaro,轭具,挽具
juro,法律学
kablo,电缆,缆绳,索,铁索
kabo,地角,岬角
kaco,阴茎
kadavrejo,太平间
kahelo,瓷砖
kakao,可可
kakto,仙人掌
kalendaro,历法,日历,月份牌,月历
kalkanumo,后跟
kalko,石灰
kalo,鸡眼,茧
kalsoneto,三角裤
kalsono,衬裤,裤权
kamiono,货车,卡车,载重汽车
kampadi,安营扎寨,露营,野营,扎营
kampanjo,运动,战役
kampisto,农夫,农民
kancero,癌,毒瘤
kandelingo,蜡台,烛台
kandidato,候补者,候选人
kanguruo,大袋鼠,袋鼠
kanvaso,画布
kanzono,歌谣
kapableco,才能
kapacito,容量
kapdoloro,头痛
kapitalismo,资本主义
kapitalisto,资本家
kapitalo,本钱,资本
kaprido,羊羔
kapsigni,点头
kardinalo,红衣主教
karikaturo,漫画
karnavalo,狂欢
karoto,胡萝卜
kartono,马粪纸,纸板
kasisto,出纳员
kaskado,瀑布
katalogo,目录,书目
katedralo,教堂
kavaleriano,骑兵
kavalerio,骑兵队
kimono,和服
kinejo,电影院,影院
kisto,囊肿
kitelo,大褂
klano,氏族,族
klavaro,键盘
klavo,键
klerigi,教育
klingo,锋芒,刃
knabego,小伙子
knedi,和面,揉
kodo,法典,法规
koiti,性交
kojno,楔子
kokardo,帽徽
koketa,风骚,迷人,妖艳
koketi,卖弄风情,卖俏,撒娇
kokoso,椰子
kolbo,枪柄
koleregi,愤怒,震怒
kolhararo,鬃毛
kolizii,碰撞,撞
kolizio,冲突
kolorigi,染色,上色,着色
kolosa,巨大
koloso,巨人
kolportisto,商贩,摊贩,小贩
koltuko,围巾
kombilo,梳子
kombineo,连衣裤
kombini,合成,化合,结合,组合
komentario,述评,注释
komercejo,商场
komerci,经商,买卖,贸易
kometo,慧星,扫帚星
komitatano,委员
komo,逗号
kompakta,坚固,坚实,结实,紧密,密集
kompano,同伴
kompaso,罗盘,指北针,指南针
kompetenteco,才干,才能,资格
kompili,编辑,编写,编纂
kompleksa,复杂
kompleto,全套
kompleza,殷勤
komplezema,殷勤
kompliki,弄复杂
komplimenti,恭维,祝贺
komploti,串通,密谋,同谋,图谋
komponi,构图,合成,化合,作曲
komponisto,作曲家
kompromiso,妥协,折衷
komputilo,计算机
komuneco,共性
komunikado,通讯
komunikilo,交通工具
konatigi,介绍
koncedi,让步
koncentrejo,集中营
konciza,大略,简明,简要
kondomo,阴茎套
kondukilo,导管
kondukisto,驾驶员,司机
konfidi,委托,信赖,信任,信托,嘱托
konfirmi,对证,肯定,批准,认可,正式认可,证实
konflikto,冲突,纠纷,矛盾
kongrui,相合
konjunkcio,连词
konkordo,和睦,谐和
konkubino,姘妇,情妇
konkuranto,竞争者
konkurenci,竞争
konkurenco,商业竞争
konkurso,比赛,竞赛
konsilano,顾问
konsisto,结构
konspiri,密谋,同谋,图谋
konspiro,合谋,政治阴谋
konstitucio,宪法
kontanta,现金
kontesti,争论
kontinua,不断,连绵,连续
kontisto,会计
kontrakti,立合同
kontribuo,功绩,功劳,功勋,贡献
kontuzi,伤
konuso,园锥体,锥形物
konvencio,公约,惯例,条约,习俗,协定
konvulsio,抽筋,惊风症,惊厥,痉挛
kopio,拷贝,摹本
koralo,珊瑚
korespondanto,通讯员
korespondi,通信
korko,软木,软木塞
korpremo,心情沉重
korpulenta,肥胖
korupti,败坏,贿赂,收买,行贿
kosmo,宇宙
kotono,棉花
kovi,策划,孵化
krabo,螃蟹,蟹
krampo,括弧,铁扣
krano,龙头,水龙头
kratago,红果树
kredema,轻信
kredito,贷方,信贷,信用
kreditoro,债主
kresto,冠,鸡冠,乌冠
kreto,白垩,粉笔
kribri,筛
kribrilo,筛子
krimi,犯罪
kriplulo,残废
krispo,肠系膜
kristanismo,基督教
kriterio,准绳,准则
kriza,紧要
kroma,附加
kromnomo,别名,外号
kromvirino,姘妇,情妇
krudulo,莽汉
kruelega,凶暴
krusto,甲壳,壳,面包皮,外壳,硬皮
kubo,立方,立方体
kuirpoto,锅
kukolo,布谷乌,杜鹃
kukumo,黄瓜
kukurbo,南瓜,西葫芦
kuliso,后台
kulti,崇拜
kultivejo,农场,种植场
kultivi,耕种,培植,栽培,种,种植
kulto,祭祀,礼拜
kuna,共同
kunbatalanto,战友
kunglui,结合
kunlaboro,合作
kunsidi,开会
kunvenejo,会场
kurbigi,弯曲
kurbo,曲线
kurento,电流
kuvo,盆
kvitanco,单据,收据,收条
labirinto,耳蜗,迷宫
laboratorio,化验室,实验室
laborforto,劳动力
lado,金属片,铁皮
ladskatolo,罐头
laiko,门外汉,俗人,外行
laktejo,牛奶店,牛奶站
lambastono,拐棍,拐杖
lampiro,萤火虫
lamulo,跛子,瘸子
lanuga,毛茸茸
lanugo,毛,绒毛
larvo,幼虫
latino,拉丁文
lato,板条,木条
latrino,厕所
latuno,黄铜
lavango,雪崩
lavejo,盥洗室
lavujo,洗衣盆
lazura,蔚蓝
lazuro,天蓝色
legitima,合法
lenso,透镜
lento,扁豆
lentugo,雀斑
leopardo,豹子
lernejano,学生
lernejestro,校长
lertulo,巧手
leterportisto,邮递员
levilo,杠杆,起重机,升降机
libelo,蜻蜒
liberalismo,自由主义
librejo,书店
libroservo,书刊服务部
librovendejo,书店
lifto,升降机
likvidi,解决,清理,清算
limako,蜗牛
limonado,柠檬水
lingvistiko,语言学
lingvisto,语言学者
liriko,抒情诗
litro,公升
littuko,床单
logo,计程仪
lojala,忠诚,忠实
lojaleco,忠心
longeco,长度
longigi,延长
lonicero,金银花
lorno,望远镜
loti,抽签,拈阄
lotuso,莲
luanto,租户
ludejo,操场
luigi,出租,租赁
luko,天窗
lulkanto,催眠曲
lumbriko,蚯蚓
lumturo,灯塔
lundo,星期一
lupago,租金
lupolo,啤酒花
lutro,水獭
Madono,圣母
magistrato,市政府
magistro,硕士
magnetismo,磁性
magneto,磁石,磁铁,吸铁石
magra,瘦
maizo,玉米
majesteco,尊严
majusklo,大写,大写字母
makaronio,通心粉
maksimo,格言,箴言
mala,相反
malakordo,分歧
malaminda,可恶
malatenta,心不在焉
malavara,大方
malbeligi,丑化
malbonodoro,臭味
maldece,失当
maldiskreta,鲁莽,轻率
malebena,崎呕
maleolo,脚踝
malfacilo,难事
malfaldi,摊开,展开
malfavora,不利
malfekunda,贫瘠
malfruigi,延期
malgajni,输
malgajo,哀愁
malgracia,粗俗
malgrandega,渺小
malhonora,失体面
malkapabla,无能
malkara,低廉,便宜
malklera,无知,愚昧
malkonsili,劝阻
malkonstrui,拆毁
malkontente,不满
mallaboremo,懒惰
mallaborulo,懒汉
malmilda,严厉
malmoleco,硬度
malmoligi,硬化
malmorala,不道德
malmultekosta,便宜
malorda,乱
malordigi,捣乱,弄乱,扰乱
malpacienca,急切,急躁,心急
malpezigi,减轻
malpliigi,减少
malprofunda,浅
malrekta,歪
malsatego,饥荒
malseketa,湿润
malutila,有害
malutilo,害处,坏处
malvarmega,冰冷
malvarmego,严寒
malvarmigi,冷却
malvenki,失败
malvirta,不道德
malvolvi,解开
mamnutri,哺乳,喂奶
mandorso,手背
mangesto,手势
manifesto,宣言
manio,狂热,奇癖
maniulo,狂人
manovri,演习
manpremi,握手
mansaketo,手提袋
mapo,地图
marakvo,海水
mardo,星期二
marki,作记号
marmelado,果酱
masiva,坚实
maski,伪装,掩饰,遮盖
masklo,雄性
mastri,支配
mastrumistino,女仆
matenkrepusko,黎明
mato,席
matraco,卧褥
medalo,纪念章,奖章
Mediteraneo,地中海
medolo,骨髓
meleagro,火鸡,吐绶鸡
melono,瓜,甜瓜
membrano,薄膜,膜
memregado,自治
mergi,浸,浸入
merkato,市场
merkredo,星期三
mestizo,混血儿
metaforo,比喻,隐喻
metamorfozo,变态
metiejo,手工作坊,作坊
metilernanto,徒弟,徒工
metropolo,宗主国
mezepoko,中世纪
mezurilo,量具
miela,甜蜜
mikrofono,传声器,送话器
mikroskopo,显微镜
miliardo,十亿
milimetro,公厘,毫米
milionulo,百万富翁
militema,好战
militiri,行军
mineralo,矿,矿物
mini,布雷
miniatura,微型
minimumo,最低限度
ministerio,部
minus,减
minusklo,小写字母
miopa,近视
miozoto,勿忘草
mistiko,神秘教义,神秘主义
mistrakti,冤枉
mitologio,神话学
mitralo,机枪
moda,摩登,时式
moderigi,节制
modifi,修改
modli,塑造
mokridi,嘲笑,取笑
molekulo,分子
molkora,心肠软,易激动
monbileto,钞票
mondkoncepto,世界观,宇宙观
mondumo,上流社会
monedo,穴乌
monotona,单调
monpuno,罚款
monsumo,款项
montopinto,山峰
montosupro,山顶
montrilo,指针
montrofenestro,橱窗
mopso,巴儿狗
mortero,灰浆,砂浆
mortpafi,枪毙
mosto,葡萄汁
motorboato,汽船,汽艇
mucida,霉
mueli,碾
muelilo,磨,碾米机
multipliki,乘
multkolora,多色
municio,弹药,军火
mustardo,芥末
mustelo,松貂
mutulo,哑巴
muzikilo,乐器
nacieco,国籍
naciismo,民族主义
narciso,水仙
narkoti,麻醉
naveto,梭子
navigado,航海,航行
nazio,纳粹分子
naztruo,鼻孔
naztuko,巾,手绢
nebuleto,薄雾
neforgesebla,难忘
negativa,反面,消极
negoci,买卖,贸易
neimageble,不可思议
neklare,不明
nekomparebla,无比,无可比拟,无与伦比
nekompleta,残缺
nektaro,花蜜,美酒,神酒
nekuracebla,屡教不改,无可救药
nenormala,反常,异常
neologismo,新词
nepenetrebla,浸不透
nepino,外孙女
nigrulo,黑人
nito,铆钉
nomaro,名单
nomumi,委任
norma,合格
normo,标准,定额,规范,指标,准则
nostalgio,怀乡病,思乡
notlibro,笔记本,记事本
novedzino,新娘
novluno,月牙
nudpieda,赤脚
numeralo,数词
nupto,婚礼
nutristino,奶妈
oazo,绿洲,沃洲
objektiva,客观
oblikva,偏斜,歪,斜
obsedi,萦绕
obstaklo,绊脚石,障碍,障碍物,阻碍,阻力
obstrukci,拦截,拖后腿,阻挠
odo,颂歌
ofensivo,攻势
oferdono,献礼
oferemo,忘我
oficejo,办公室,事务所
oficiala,法定,官方,正式的
ofico,职务
oksigeno,氧气
okulfrapa,显眼,显著,醒目,引人注目
okulisto,眼科医生
okupiteco,忙碌
olei,加油
oligarkio,寡头政治
olivo,橄榄,青果
omaro,龙虾
ombrelo,伞
ombri,投影,遮荫
operacii,动手术,演算,运算,作战
operejo,歌剧院
opero,歌剧
opio,大烟,鸦片
oportuneco,便利
optimismo,乐观主义
oratoro,演说家
ordeno,教派,教团,勋章
orelringo,耳环
orkolora,金色
ortodoksa,正统的
ostro,牡蛎
ovala,卵形,椭圆
pacigi,和解,调和,言和
pafdistanco,射程
pafmortigi,击毙,枪毙
paganismo,多神教,异教
pagano,异教徒
pako,包裹
palato,腭
palisaro,篱笆,栅栏
panero,面包屑
paniko,惊慌,恐慌,狼狈,失措
panoramo,全景
papago,鹦鹉
papavo,罂粟
paperujo,文件夹,纸夹
parabolo,抛物线
paradi,夸耀,卖弄,炫耀,游行
paralela,平行
paralizo,风瘫,麻痹,瘫痪
parazito,寄生虫,寄生者,寄食者
pardonema,宽厚
pardonpeti,道歉,赔罪
pargeto,拼花地板
paroksismo,发作
partieco,党性
partiklo,粒子
paruo,山雀
pasinte,已往
pasto,糊,面团
pato,煎锅
patoso,激动
patriarko,家长,教长,族长
patrineco,母性
patriotismo,爱国主义
patrioto,爱国者
patrolando,祖国
patroli,巡逻
pavilono,阁,亭
pavo,孔雀
pedagogo,教育家
pediko,虱
pego,啄木鸟
pekliberigi,赦免
penco,便士
pendigilo,绞刑架
pendolo,钟摆
pendumilo,绞刑架
penetrema,深入
penetrigi,深入
penige,用功
peniko,画笔,毛笔
peniso,阴茎
pensio,退休金,养老金
pentofari,忏悔
pentrado,绘画
pentrinda,如画
peonio,牡丹,芍药
peono,卒
peranto,代理人,中间人
perfektigi,健全
perfidi,背叛,背信弃义,出卖,叛变
pergameno,羊皮纸
peri,介绍
periferio,周长
perilo,媒介
periode,定期
perko,鲈鱼
perlamoto,螺钢,珍珠母
perpleksigi,困扰
persiko,桃子
perturbo,故障,毛病
perversa,邪恶,淫荡
petalo,花瓣
petrolo,石油
pezigi,加重
pezilo,称陀,砝码
piediranto,行人
piednoto,脚注,注脚
piedpilko,足球
pigmeo,矮子,侏儒
pigo,喜鹊
pika,尖酸刻薄,辛辣
pikniko,野餐
pilgrimanto,香客
pilgrimi,朝圣,进香
pilolo,丸药,药丸
piloto,驾驶员,领航员
pioniro,工兵,尖兵,先驱
pipro,胡椒
pirato,海盗,强盗
piro,梨
pisti,舂,捣
pitoreska,如画
pivoto,枢纽,中枢,轴
plando,脚板
plastro,膏药
platano,梧桐
plebo,庶民
plektobarilo,篱笆
plendanto,原告
plenforte,极力
plenmano,一把
pleto,盘子,托盘
plezura,痛快,愉快
plezuriga,令人高兴,令人快乐
plialtigi,增高
plimultigi,增加
plirapidigi,加速
plorkrii,哀鸣
