abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
assassination,[ә˛sæsi'nei∫әn],n.暗杀
assignment,[ә'sainmәnt],n.分配，委派，任务，(课外)作业
assimilate,[ә'simileit],v.吸收
assortment,[ә'so:tmәnt],n.分类
assured,[ә'∫uәd],adj.确实的，确定的
Assyrian,[ә'siriәn],adj.亚述的，亚述人的，亚述语的,n.亚述人
asylum,[ә'sailәm],n.庇护，收容所，救济院，精神病院
Athenian,[ә`θi:njәn],n.雅典人,adj.雅典的，雅典人的
atlas,['ætlәs],n.地图，地图集
attainment,[ә'teinmәnt],n.达到
auburn,['o:bәn],n.赤褐色,adj.赤褐色的
Aug,[],n.八月(=August)
august,[o:'gΛst],adj.令人敬畏的，威严的,n.八月(略作Aug)
aurora,[o:'ro:rә],n.黎明的女神，极光
avalanche,['ævә˛lα:n∫],n.雪崩,v.雪崩
avarice,['ævәris],n.贪财，贪婪
averse,[ә'vә:s],adj.不愿意的，反对的
awakening,[ә'weikәniŋ],adj.唤醒的，激励的
Azores,[ә'zo:z],n.亚述尔群岛(在北大西洋，属葡萄牙)
backwards,['bækwәdz],adv.向后
balk,[bo:lk],n.障碍，梁木,v.妨碍，(马)不肯前进
Baltic,['bo:ltik],adj.波罗的海的，波罗的海诸国的，波罗的语的
baptize,[bæp'taiz],vt.给人施洗礼(作为入基督教的标志)，洗炼，命名(作为洗礼仪式的一部分)
barefoot,['beәfut],adj.赤脚的
barnyard,['bα:njα:d],n.谷仓前的院地，畜棚场，空场(指粗陋，脏的空地)
baroness,['bærәnis],n.男爵夫人，女性男爵
barrack,['bærәk],n.(临时性)木板房，兵舍，军营,vt.使驻兵营内
barter,['bα:tә],n.物品交换，实物交易,v.物品交换，交换
bastard,['bæstәd],n.私生子
battlefield,['bæt(ә)lfi:ld],n.战场，沙场
beacon,['bi:kәn],n.烟火，灯塔,v.照亮
beaming,['bi:miŋ],adj.照耀的，光亮的，喜气洋洋的，愉快的
beastly,['bi:stli],adj.如野兽的，残忍的，令人不快的
beating,['bi:tiŋ],v.挫败,n.打，敲打
beauteous,['bju:tjәs],adj.美丽的(多用于文学作品中)
beautify,['bju:tifai],v.美化
bedding,['bediŋ],n.被褥，(家畜)草垫，(建筑)基床
befit,[bi'fit],vt.适合
beget,[bi'get],vt.(书面语) 招致，产生，引起
begot,[bi'got],vbl.beget的过去式
behead,[bi'hed],vt.斩首，砍头，[地质](指海盗河pirale stream)使其他河川的水流入自己河中
belated,[bi'leitid],adj.误期的，迟来的
belie,[bi'lai],v.掩饰
belligerent,[bi'lidӡәrәnt],adj.好战的，交战国的，交战的
benefactor,['benifæktә],n.恩人，捐助者，赠送者，赞助人
benevolent,[bi'nevәlәnt],adj.慈善的
Bengal,[beŋ'go:l],n.孟加拉
bereft,[bi'reft],adj.被剥夺的，失去亲人的，丧失的
berth,[bә:θ],n.停泊处，卧铺(口语)职业,v.使停泊
bethink,[bi'θiŋk],vt.想起
betimes,[bi'taimz],adv.及早，及时
betroth,[bi'trәuð],vt.许配
bewilderment,[bi`wildәmәnt],n.困惑，迷乱，为难，慌张
bier,[biә],n.棺材，棺材架
biographer,[bai'ogrәfә],n.传记作者
biological,[baiә'lodӡikәl],adj.生物学的
birthright,['bә:θrait],n.生来就有的权利，长子继承权
biting,['baitiŋ],adj.刺痛的，尖锐的
blackmail,['blækmeil],n.勒索，勒索所得之款,vt.勒索
blameless,['bleimlis],adj.无可责备的，无过失的，清白的
blanch,[blα:nt∫],v.漂白，使变白，遮断阳光,发白
bland,[blænd],adj.温和的，柔和的，乏味的，冷漠的，刺激性少的
blasphemy,['blæsfimi],n.亵渎(话)
blemish,['blemi∫],n.污点，缺点，瑕疵,vt.弄脏，玷污，损害
blithe,[blaið],adj.愉快的，高兴的
blizzard,['blizәd],n.大风雪
bloodshed,['blΛd∫ed],n.流血
blueberry,['blu:bәri; u.o. 'blu:beri],n.越橘的一种
bluntly,[],adv.坦率地，率直地
blurt,[blә:t],vt.未加思索地冲口说出，突然说出
bluster,['blΛstә],v.风狂吹，咆哮，吓唬,n.怒号，吓唬
bobolink,['bobәliŋk],adj.食米鸟(一种美洲歌鸟，与画眉鸟同属)
boisterous,['boistәrәs],adj.狂暴的，喧闹的
bony,['bәuni],adj.多骨的，瘦骨嶙峋的
bookcase,['bukkeis],n.书架，书柜
bookkeeper,['buk˛ki:pә],n.簿记员
bookmaker,['bukmeikә(r)],n.著作家，编辑者，出版者，以赌赛马为生的人
bopeep,[bәu'pi:p],n.藏猫游戏(面孔一隐一现以逗小孩的游戏)
botany,['botәni],n.植物学
boulevard,['bu:livα:d],n.<美>林荫大道
bounteous,['bauntiәs],adj.宽宏大量的，慷慨的
bourdon,['buәdn],n.[音乐]低音部音塞，低音，最低音的钟
bowman,['baumәn],n.弓箭手，(划船)头桨手
brag,[bræg],n.v.吹牛
bramble,['bræmbl],n.荆棘，树莓，悬钩子
brandish,['brændi∫],vt.挥舞,n.挥舞
brat,[bræt],n.乳臭未干的小孩，小子
bray,[brei],n.驴叫声，喇叭声,v.叫，嘶叫
breakdown,['breikdaun],n.崩溃，衰弱，细目分类
brilliance,[`briljәns],n.光辉，显赫，鲜明
brilliantly,[],adv.辉煌地，灿烂地，光亮地
broaden,['bro:dn],v.放宽，变宽，扩大，加宽
broadly,[],adv.宽广地，露骨地，广泛
brooch,[bru:t∫],n.胸针，领针
brother-in-law,[],n.姊妹的丈夫
brotherly,['brΛðәli],adj.兄弟的，亲兄弟般的，亲切的，充满情谊的
browse,[brauz],v.n.浏览，吃草，放牧
buckwheat,['bΛkwi:t; (?@) 'bΛkhwi:t],n.[植]蓼科荞麦属，荞麦，荞麦种，荞麦粉
budge,[bΛdӡ],v.移动
bulky,['bΛlki],adj.大的，容量大的，体积大的
bun,[bΛn],n.小圆面包，曲卷(或结)状的头发
bunting,['bΛntiŋ],n.[动] 颊白鸟之类
burgess,['bә:dӡis],n.英国从城市或大学选出的议员
burke,[bә:k],v.避免
burlesque,[bә:'lesk],n.作戏，滑稽表演,adj.滑稽的，可笑的
burnish,['bә:ni∫],vt.磨光，擦亮(金属)
burr,[bә:],v.用喉音说话
bushy,['bu∫i],adj.灌木茂密的，浓密的
businesslike,['biznislaik],adj.事务性的，公事公办的，有条理的，有效率的
cackle,['kækl],n.咯咯声，高声笑，饶舌，闲谈,vi.咯咯叫，咯咯笑，喋喋不休
Cain,[kein],n. 〈圣经〉该隐（亚当之子）
Calais,['kælei],加来(法国北部港市)
caller,['ko:lә],n.呼叫者，传唤员，访客，召集员,adj.新鲜的
calling,['ko:liŋ],n.职业，行业，邀请，点名，召集
calmness,[],n.平静，冷静，镇静
calorie,['kælәri],n.卡路里
candlestick,['kænd(ә)lstik],n.烛台，蜡烛架
canker,['kæŋkә],n.[医]溃疡，[植](树的)癌肿病，腐败,vi.患溃疡，腐蚀，溃烂,vt.使患溃疡，使腐蚀
cannibal,['kænibәl],n.食人者，吃同类的动物
cant,[kænt],n.伪善之言，黑话，隐语，斜面，角落,vi.讲黑话，倾斜
capacious,[kә'pei∫әs],adj.容积大的，宽敞的，广阔的
capillary,[kә'pilәri],n.毛细管,adj.毛状的，毛细作用的
capitalism,['kæpitәlizәm],n.资本主义
carbohydrate,['kα:bәu'haidreit],n.[化]碳水化合物，醣类
carbonate,['kα:bәneit],n.[化]碳酸盐,vt.使变成碳酸盐，使充满二氧化碳
carol,['kærәl],n.欢乐的歌，颂歌，(尤指)圣诞节颂歌,v.歌颂，欢唱
carton,['kα:tәn],n.硬纸盒，纸板箱
cartoon,[kα:'tu:n],n.(报刊上的)政治性漫画，讽刺画，卡通画，漫画(常有解说词),v.画漫画,n.卡通片，动画片
cartridge,['kα:tridӡ],n.弹药筒
caste,[kα:st],n.印度的世袭阶级，(排他的)社会团体，职业等级，(具有严格等级的)社会地位，社会等级制度
category,['kætigәri],n.种类，别，[逻]范畴
causeway,['ko:zwei],n.堤道，铺道
caw,[ko:],n.乌鸦的叫声,vi.发出鸦叫声,abbr.[军] Carbon-Arc Welding，碳弧焊
ceaseless,['si:slis],adj.不停的，不断的
celebrity,[si'lebriti],n.名声，名人
ceremonial,[˛seri'mәunjәl],n.仪式,adj.正式的
chagrin,['∫ægrin],n.懊恼，气愤，委屈
champagne,[∫æm'pein],n.香槟酒，香槟色
champaign,['t∫æmpein],n.原野
chanticleer,['t∫æntikliә(r)],n.公鸡
char,[t∫α:],v.烧焦
charger,['t∫α:dӡә],n.充电器，军马，袭击者
charlotte,['∫α:lәt],n.水果布丁
chastise,[t∫æs'taiz],vt.严惩，惩罚
cheerfulness,[],n.高兴，快活
cherub,['t∫erәb],n.小天使，胖娃娃
cherubim,[`t∫erәbim],n.智天使，小天使
chickadee,['t∫ikә˛di:],n.（美洲所产的）山雀
chieftain,['t∫i:ftәn],n.酋长，首领
chintz,[t∫ints],n.印花棉布（亦作chints）
chivalrous,['∫ivәlrәs],adj.有武士风度的，侠义的
cholera,['kolәrә],n.[医]霍乱
chore,[t∫o:],n.家务杂事
christen,['krisn],v.命名为
Christendom,['krisәndәm],n.基督教徒（集合称）基督教界
chronic,['kronik],adj.慢性的，延续很长的
chum,[t∫Λm],n.<俗>(特指男孩子之间)密友，室友,vi.结为密友（与up连用）
churn,[t∫ә:n],n.搅乳器,v.搅拌，搅动
cistern,['sistәn],n.水塔，蓄水池
citadel,['sitәdәl],n.根据地，大本营
clamorous,['klæmәrәs],adj.大喊大叫的
clamp,[klæmp],n.夹子，夹具，夹钳,vt.夹住，夹紧
clearness,['kliәnis],n.晴朗，明白
clerical,['klerikәl],adj.牧师的，书记的,n.牧师
clinch,[klint∫],n.钉牢，拥吻,v.敲弯，扭住
clink,[kliŋk],n.丁当声,v.(使)发丁当声
clod,[klod],n.土块,vt.掷土块
clog,[klog],n.木底鞋，障碍,v.障碍，阻塞
coffer,['kofә],n.保险箱
coke,[kәuk],n.可乐，焦炭,v.(使)成焦炭
collective,[kә'lektiv],adj.集体的,n.集体
collie,['koli],n.[动]牧羊狗(一种高大聪敏长毛的牧羊狗)
collision,[kә'liӡәn],n.碰撞，冲突
colonization,[˛kolәnai'zei∫әn],n.殖民地化，殖民
colouring,['kΛlәriŋ],n.色彩(美作：coloring)
colourless,['kΛlәlis],adj.无色的，乏味的
combatant,['kombәtәnt],n.战士，战斗员adj.战斗的
comedian,[kә 'mi:diәn],n.喜剧演员
comer,['kΛmә],n.来者，新来者，有希望者
comical,['komik(ә)l],adj.好笑的，滑稽的
commemorate,[kә'memәreit],vt.纪念
commencement,[kә'mensmәnt],n.开始，毕业典礼
commendation,[˛komen'dei∫әn],n. 赞扬；称赞,荣誉；奖状
commodore,['komәdo:],n.海军准将，船队队长
compassionate,[kәm'pæ∫әnit],adj.富于同情心的
compressed,[kәm'prest],adj.被压缩的，扁平的
compulsion,[kәm'pΛl∫(ә)n],n.强迫，强制，[心]强迫性冲动
concave,['kon'keiv],adj.凹的，凹入的,n.凹，凹面
concealment,[kәn'si:lmәnt],n.隐藏，隐蔽，隐蔽处
conceited,[kәn'si:tid],adj.自以为是的，逞能的，狂想的
condemnation,[˛kondem'nei∫әn],n.谴责，指责，定罪
condensation,[konden'sei∫әn],n.浓缩
condenser,[kәn'densә],n.冷凝器，电容器
condescend,[kondi'send],vi.谦逊，屈尊
confidently,[],adv.信赖地，安心地
confinement,[kәn'fainmәnt],n.(被)限制，(被)禁闭，产期，分娩
conformity,[kәn'fo:miti],n.一致，符合
congregate,['koŋgrigeit],v.聚集
consecration,[˛konsi'krei∫әn],n.供献，奉献，献祭仪式
consecutive,[kәn'sekjutiv],adj.连续的，联贯的
considerate,[kәn'sidәrit],adj.考虑周到的
consistency,[kәn'sistәnsi],n.连结，结合，坚固性，浓度，密度，一致性，连贯性
consistently,[],一贯地， 一向， 始终如一地
consonant,['konsәnәnt],adj.协调一致的
conspirator,[kәn'spirәtә],n.同谋者，阴谋者，反叛者
constancy,['konstәnsi],n.不屈不挠，坚定不移，恒久不变的状态或性质
consternation,[˛konstә(:)'nei∫әn],n.惊愕，恐怖，惊惶失措
consummate,['konsΛmeit],vt.完成，使达到极点,adj.圆满的，至上的，完美的
contaminate,[kәn'tæmineit],v.污染
contemptible,[kәn'temptәbl],adj.可鄙的
contemptuous,[kәn'temptjuәs],adj.轻蔑的，侮辱的
contemptuously,[],adv.轻蔑地
contour,['kontuә],n.轮廓，周线，等高线
contracted,[kәn'træktid],adj.收缩了的，已定约的，契约的
contributor,[kәn'tribju(:)tә],n.贡献者，捐助者，投稿者
convulsion,[kәn'vΛl∫әn],n.震撼，动乱，震动，惊厥，痉挛
coolness,[],n.冷静，冷，凉爽
cooper,['ku:pә],n.制桶工人
coordinate,[kәu'o:dinit],n.同等者，同等物，坐标(用复数),adj.同等的，并列的,vt.调整，整理
copious,['kәupjәs],adj.很多的，广识的，丰富的
copse,[kops],n.小灌木材，杂树林
cornfield,[`ko:nfi:ld],n.<美>玉米田，<英>小麦田
coronet,['korәnit],n.宝冠，小冠冕
corset,['ko:sit],n.束腹，妇女的胸衣
counterrevolution,[kauntәrevә'lu:∫әn],n.反革命
countess,['kauntis],n.伯爵夫人，女伯爵
courier,['kuriә],n.送快信的人，旅行从仆
courteously,[],adv.有礼貌地，亲切地
courthouse,[],n.法院，郡政府所在地
courtship,['ko:t∫ip],n.求爱，求爱时期
cove,[kәuv],n.山凹，小湾，<美>小峡谷，(延至树林的)狭长开阔地，[建]穹窿，拱,v.(使)内凹，(使)成拱形
coverlet,['kΛvәlit],n.被单，床单
covert,['kΛvәt],adj.隐蔽的，偷偷摸摸的，[律]在丈夫保护下的,n.掩蔽处，隐藏处
cowardice,['kauәdis],n.怯懦，胆小
cowboy,['kauboi],n.<美>牛仔，牧童，美国西部牧人
cowl,[kaul],n.蒙头斗篷，连有头巾的修道士服，(烟囱顶上的)通风帽
cowslip,['kauslip],n.黄花九轮草
cox,[koks],n.舵手,v.做舵手
cracked,[krækt],adj.声音嘶哑的，破碎的，破裂的
crafty,['krα:fti],adj.狡诈的，诡计多端的，善于骗人的
cranberry,['kræn˛bәri],n.[植]酸果蔓的果实
crater,['kreitә],n.弹坑
cravat,[krә'væt],n.领结，领巾，围巾，三角绷带
craving,['kreiviŋ],n.渴望
creamy,['kri:mi],adj.含乳脂的，奶油色的，乳脂状的
credulity,[kri'dju:liti],n.易信，轻信
credulous,['kredjulәs],adj.轻信的
Crete,[kri:t],n.克利特岛(位于地中海东部，属希腊)
crochet,['krәu∫ei],n.钩针编织品，钩边,v.用钩针编织
crocodile,['krokәdail],n.鳄鱼，鳄鱼皮
crossword,['kroswә:d],n.纵横字谜
crusader,[kru:`seidә(r)],n.十字军战士，改革者
crystalline,['kristәlain],adj.水晶的
crystallize,['kristәlaiz],v.明确
Cuban,['kju:bәn],n.古巴人,adj.古巴(人)的
cuddle,['kΛdl],v.拥抱
cudgel,['kΛdӡәl],n.棍棒,vt.用棍棒打
cue,[kju:],n.暗示，提示，球杆
cull,[kΛl],v.精选
culminate,['kΛlmineit],v.达到顶点
culprit,['kΛlprit],n.犯人
cult,[kΛlt],n.礼拜，祭仪，一群信徒，礼拜式
cultivated,['kΛltiveitid],adj.耕耘的，有教养的，栽植的
cultivator,['kΛltiveitә],n.耕者，耕田机，栽培者
curtail,[kә:'teil],vt.缩减，减少(经费等)，剥夺(某人的)特权(或官衔等)，简略
curtsey,['kә:tsi],n.屈膝礼,n.女人行的鞠躬礼
custard,['kΛstәd],n.奶油蛋羹，奶油冻
custody,['kΛstәdi],n.保管
cute,[kju:t],adj.可爱的，聪明的，伶俐的，装腔作势的
cyclone,['saiklәun],n.旋风，飓风，暴风，龙卷风，[气]气旋
cymbal,['simbәl],n.铙钹，高音音栓之一
cynical,['sinikәl],adj.愤世嫉俗的
czar,[zα:],n.(俄国)沙皇，<美>大权独揽的人，独裁者，专制君主
daffodil,['dæfәdil],n.水仙花,adj.水仙花色的
damask,['dæmәsk],n.缎子
dandelion,['dændilaiәn],n.蒲公英
Daphne,['dæfni],n.达芙妮(女名)
darkly,['dα:kli],adv.暗黑，呈黑色
dashing,['dæ∫iŋ],adj.活跃的，浮华的
daunt,[do:nt],v.沮丧
dauntless,['do:ntlis],adj.不屈不挠的，大胆的
deacon,['di:kәn],n.执事
deadlock,['dedlok],n.死锁，僵局
deafen,['defn],vt.使聋,vi.变聋
dearth,[dә:θ],n.缺乏
deary,['diәri],n.<俗>亲爱的人，小宝贝(母亲称小孩的亲昵语)
death rate,[],n.死亡率
deceitful,[di'si:tful],adj.欺诈的
decency,['di:snsi],n.庄重
deception,[di'sep∫әn],n.欺骗，诡计
deduct,[di'dΛkt],vt.扣除，演绎
defendant,[di'fendәnt],n.被告,adj.辩护的，为自己辩护的
defenseless,[di`fenslis],adj.无防备的
defiant,[di'faiәnt],adj.挑战的，挑衅的，目中无人的
deficiency,[di'fi∫әnsi],n.缺乏，不足
deficit,['defisit],n.赤字，不足额
defile,[di'fail],v.染污,n.隘路
deformity,[di'fo:miti],n.残缺，畸形，残废，畸形的人或物
deftly,[],adv.灵巧地，熟练地
degradation,[˛degrә'dei∫әn],n.降级，降格，退化
deign,[dein],vi.屈尊,vt.赐予
dejected,[di'jektid],adj.沮丧的，灰心的
delegation,[˛deli'gei∫әn],n.代表团，授权，委托
delete,[di' li:t],vt.删除
delightfully,[],大喜，欣然
deliverer,[di'livәrә],n.递送人
deluge,['delju:dӡ],n.洪水，豪雨,v.使泛滥，淹，浸，压倒
delusion,[di'lu:ӡәn],n.错觉
demolish,[di'moli∫],vt.毁坏，破坏，推翻，粉碎
denial,[di'naiәl],n.否认，否定，谢绝，拒绝
denomination,[di˛nomi'nei∫әn],n.命名
densely,[],adv.浓密地，浓厚地
density,['densiti],n.密度
dental,['dentl],adj.牙齿的
departed,[di'pα:tid],adj.死了的，已往的，过去的
dependant,[di'pendәnt],n.(=dependent)侍从，食客
dependence,[di'pendәns],n.依靠，依赖，信任，信赖
deplorable,[di'plo:rәbl],adj.可叹的
deplore,[di'plo:],v.表示悲痛
deportation,[˛dipo:'tei∫әn],n.移送，充军，放逐
deportment,[di'po:tmәnt],n.行为，举止
depose,[di'pәuz],vt.免职，废(王位)，作证,vi.宣誓作证
depreciation,[di˛pri:∫i'ei∫әn],n.贬值，减价，跌落，折旧，轻视
depressed,[di'prest],adj.沮丧的，降低的
deride,[di'raid],vt.嘲弄，嘲笑
derision,[di'riӡәn],n.嘲笑
descry,[dis'krai],vt.察看，发现，远远看到
desertion,[di'zә:∫әn],n.丢掉，遗弃，逃亡，开小差
designer,[di'zainә],n.阴谋家，设计家，制图师
despairing,[dis'pєәriŋ],adj.绝望的，失望的
despot,['despot],n.专制君主，暴君,n.[史] 拜占庭皇帝及其家属的名誉称号(后来其家臣也使用)
destitute,['destitju:t],adj.困穷的，缺乏的
devastate,['devәsteit],vt.毁坏
devilish,['devli∫],adj.如恶魔般的，精力旺盛的
devoid,[di'void],adj.全无的，缺乏的
devout,[di'vaut],adj.虔敬的，诚恳的
dewy,['dju:i],adj.带露水的，露湿的，如露的
dexterity,[deks'teriti],n.灵巧，机敏
diadem,['daiәdem],n.王冠，王权，带状头饰
dickens,['dikinz],n.魔鬼
dictator,[dik'teitә],n.独裁者，独裁政权执政者，口授令他人笔录者
dictatorship,[dik'teitә∫ip],n.专政
digestive,[di'dӡestiv; dai-],adj.消化的，有助消化的
digger,['digә],n.挖掘者，掘地兽
dignify,['dignifai],vt.使尊荣，增威严，使高贵，故做显贵
dike,[daik],n.堤防,vt.筑堤提防
dilate,[dai'leit],vi.扩大，详述，膨胀,vt.使扩大，使膨胀
diminutive,[di'minjutiv],adj.小的，指小的，小型的,n.小的人，指小辞，指小词，爱称
dimple,['dimpl],n.酒窝，涟漪,vt.使起涟漪
dioxide,[dai'oksaid],n.二氧化物
diploma,[di'plәumә],n.文凭，毕业证书，证明权力、特权、荣誉等的证书，奖状
diplomacy,[di'plәumәsi],外交
diplomat,['diplәmæt],n.外交官，有外交手腕的人，有权谋的人
dipper,['dipә],n.浸渍者，汲取的人，浸染工，显影液容器，北斗七星
dirge,['dә:dӡ],n.挽歌，哀悼歌
disagree,[˛disә'gri:],vi.不一致，不适宜
disagreement,[disә'gri:mәnt],n.意见不同，不调和，争执，不和，争论
disappearance,[˛disә'piәrәns],n.不见，消失
disapproval,[˛disә'pru:vәl],n.不赞成
disarmament,[dis'α:mәmәnt],n.裁军
disband,[dis'bænd],v.解散，裁减
disc,[disk],n.(=disk) 圆盘，唱片,vt.灌唱片
discomfort,[dis'kΛmfәt],n.不便之处，不适
disconcert,[˛diskәn'sә:t],vt.使惊惶，使仓皇失措，破坏
discontented,['diskәn'tentid],adj.不满意的
discontinue,['diskәn'tinju(:)],v.停止，废止，放弃
discord,['disko:d],n.不一致，意见不合，嘈杂声，[音乐] 不和谐,v.不和
discouragement,[dis`kΛridӡmәnt],n.气馁，挫折，劝阻
discredit,[dis'kredit],n.无信用，疑惑，不名誉，耻辱,vt.不信，怀疑，使丢脸
discreet,[dis'kri:t],adj.小心的，慎重的，有思虑的，贤明的
discrimination,[dis˛krimi'nei∫әn],n.辨别，区别，识别力，辨别力，歧视
diseased,[di'zi:zd],adj.患病的，败坏的，有病
disfigure,[dis'figә],v.损伤外貌，使变丑
disgraceful,[dis'greisful],adj.可耻的，不名誉的
dishearten,[dis'hα:tәn],vt.使...气馁，使...沮丧，使...失去勇气
dishonest,[dis'onist],adj.不诚实的
disillusion,[˛disi'lu:ӡәn],v.醒悟
dispel,[dis'pel],vt.驱散，驱逐，使消散
dispensation,[˛dispen'sei ∫әn],n.分配
dissatisfaction,['dis˛sætis'fæk∫әn],n.不满，不平，令人不满的事物
dissatisfied,[],adj.不满意的，不高兴的
dissension,[di'sen∫әn],n.意见不同，纠纷，争执
dissent,[di'sent],v.不同意
distasteful,[dis'teistful],adj.味道不佳的，(令人)不愉快的，讨厌的
distemper,[dis'tempә],n.大瘟热，不高兴，病异状,vt.用胶画颜料画，使发狂
distil,[],v.蒸馏，提取....的精华
divan,[di'væn],n.会议室，国务会议，(无扶手和靠背的)长沙发椅，咖啡馆，吸烟室
diver,['daivә],n.潜水者
divers,['daivәz],种种的
diverse,[dai'vә:s],adj.不同的，变化多的
diversity,[dai'vә:siti],n.差异，多样性
doggedly,[],adv.固执地，顽强地
doleful,['dәulful],adj.悲哀的，阴沉的，寂寞的
dolphin,['dolfin],n.海豚
domination,[domi'nei∫әn],n.控制，统治，支配
doorstep,['do:step],n.门阶，入门之阶
dope,[dәup],n.粘稠物，浓液，涂料，涂布油，麻醉药物，笨蛋,vt.上涂料，预测出,vi.服麻醉品,n.<美口>内幕，消息
dormitory,['do:mitri],n.宿舍
dote,[dәut],vi.昏聩，溺爱
doublet,['dΛblit],n.紧身上衣，成对的东西
doubly,['dΛbli],adv.二倍地，双重地，双摺地
doubtfully,[],adv.怀疑地，含糊地
doughnut,['dәunΛt],n.油炸圈饼,n.圆环图
downcast,['daunkα:st],adj.气馁的，悲哀的，沮丧的，(眼睛)向下看的
downfall,['daunfo:l],n.衰败，垮台，大雨，落下
downright,['daunrait],adj.明白的，显明的，率直的,adv.全然，完全，彻底
downstream,['daunstri:m],adv.下游地,adj.下游的
